# GeoNames cities (population >= 100k) + aliases. CC-BY 4.0, geonames.org
# match_name<TAB>display_name<TAB>lat<TAB>lon<TAB>population
akhmim	Akhmīm	26.5622	31.7457	151430
akhmīm	Akhmīm	26.5622	31.7457	151430
akishima	Akishima	35.7208	139.38	113949
akita	Akita	39.7167	140.1167	307672
akola	Akola	20.7096	76.9981	428857
akowonjo	Akowonjo	6.6101	3.3097	308900
akron	Akron	41.0814	-81.519	197542
aksaray	Aksaray	38.3725	34.0254	327575
aktau	Aktau	43.6611	51.1739	147443
aktobe	Aktobe	50.2797	57.2072	500757
akure	Akure	7.2526	5.1931	730000
al 'amarah	Al ‘Amārah	31.8356	47.1448	323302
al 'ashir min ramadan	Al ‘Āshir min Ramaḑān	30.2964	31.7463	246148
al ahmadi	Al Aḩmadī	29.0769	48.0839	637411
al ain city	Al Ain City	24.1917	55.7606	846747
al ajaylat	Al Ajaylat	32.7572	12.3763	130546
al aḩmadī	Al Aḩmadī	29.0769	48.0839	637411
al bab	Al Bāb	36.3705	37.5157	130745
al bayda'	Al Bayḑā’	32.7627	21.7551	129439
al bayḑā’	Al Bayḑā’	32.7627	21.7551	129439
al bāb	Al Bāb	36.3705	37.5157	130745
al diwaniyah	Al Diwaniyah	31.9929	44.9255	318801
al fallujah	Al Fallūjah	33.3491	43.786	190159
al fallūjah	Al Fallūjah	33.3491	43.786	190159
al fashn	Al Fashn	28.8231	30.899	112999
al faw	Al Fāw	29.9742	48.4731	104569
al fayyum	Al Fayyum	29.31	30.8418	519047
al fqih ben calah	Al Fqih Ben Çalah	32.5021	-6.6877	111402
al fqih ben çalah	Al Fqih Ben Çalah	32.5021	-6.6877	111402
al fāw	Al Fāw	29.9742	48.4731	104569
al hasakah	Al Ḩasakah	36.5024	40.7477	422445
al hawamidiyah	Al Ḩawāmidīyah	29.9	31.25	155055
al hillah	Al Hillah	32.4637	44.4196	455700
al hindiyah	Al Hindīyah	32.5419	44.2247	139578
al hindīyah	Al Hindīyah	32.5419	44.2247	139578
al hoceima	Al Hoceïma	35.2516	-3.9372	395644
al hoceïma	Al Hoceïma	35.2516	-3.9372	395644
al hudaydah	Al Ḩudaydah	14.7978	42.9545	734699
al hufuf	Al Hufūf	25.3647	49.5876	293179
al hufūf	Al Hufūf	25.3647	49.5876	293179
al jadid	Al Jadīd	27.05	14.4	126386
al jadīd	Al Jadīd	27.05	14.4	126386
al jubayl	Al Jubayl	27.0174	49.6225	237274
al jumayl	Al Jumayl	32.8529	12.0612	102000
al kharj	Al Kharj	24.1554	47.3346	425300
al khums	Al Khums	32.6486	14.2619	201943
al khusus	Al Khuşūş	30.1529	31.315	488904
al khuşūş	Al Khuşūş	30.1529	31.315	488904
al madinah	Al Madīnah	30.9632	47.27	255000
al madīnah	Al Madīnah	30.9632	47.27	255000
al mahallah al kubra	Al Maḩallah al Kubrá	30.9706	31.1669	592573
al mahmudiyah	Al Maḩmūdīyah	33.0622	44.3656	350000
al majaz	Al Majaz	25.3235	55.3877	116503
al manaqil	Al Manāqil	14.2459	32.9891	128297
al mansurah	Al Mansurah	31.0364	31.3807	621953
al manzalah	Al Manzalah	31.1582	31.936	127394
al manāqil	Al Manāqil	14.2459	32.9891	128297
al matariyah	Al Maţarīyah	31.1829	32.0311	162045
al mawsil al jadidah	Al Mawşil al Jadīdah	36.3327	43.1056	2065597
al mawşil al jadīdah	Al Mawşil al Jadīdah	36.3327	43.1056	2065597
al maţarīyah	Al Maţarīyah	31.1829	32.0311	162045
al maḩallah al kubrá	Al Maḩallah al Kubrá	30.9706	31.1669	592573
al maḩmūdīyah	Al Maḩmūdīyah	33.0622	44.3656	350000
al miqdadiyah	Al Miqdādīyah	33.9786	44.9369	155968
al miqdādīyah	Al Miqdādīyah	33.9786	44.9369	155968
al mubarraz	Al Mubarraz	25.4077	49.5903	290802
al muharraq	Al Muharraq	26.2572	50.6119	176583
al qadarif	Al Qadarif	14.0349	35.3834	363945
al qahirah al jadidah	Al Qāhirah al Jadīdah	30.0421	31.4445	313139
al qamishli	Al Qāmishlī	37.0521	41.2314	184231
al qurnah	Al Qurnah	31.0155	47.4336	134174
al qāhirah al jadīdah	Al Qāhirah al Jadīdah	30.0421	31.4445	313139
al qāmishlī	Al Qāmishlī	37.0521	41.2314	184231
al ḩasakah	Al Ḩasakah	36.5024	40.7477	422445
al ḩawāmidīyah	Al Ḩawāmidīyah	29.9	31.25	155055
al ḩudaydah	Al Ḩudaydah	14.7978	42.9545	734699
al ‘amārah	Al ‘Amārah	31.8356	47.1448	323302
al ‘āshir min ramaḑān	Al ‘Āshir min Ramaḑān	30.2964	31.7463	246148
al'met'yevsk	Al’met’yevsk	54.904	52.3179	140437
al-'ubur	Al-'Ubūr	30.2289	31.4815	138987
al-'ubūr	Al-'Ubūr	30.2289	31.4815	138987
al-junaynah	Al-Junaynah	13.4526	22.4473	162981
al-kut	Al-Kut	32.5128	45.8182	315162
al-musayab	Al-Musayab	32.7787	44.2901	101873
ala'er	Ālā'ĕr	40.5418	81.2657	126259
alagoinhas	Alagoinhas	-12.1356	-38.4192	161196
alamar	Alamar	23.1579	-82.2784	100000
alandur	Alandur	13.0025	80.2061	164430
alanya	Alanya	36.5438	31.9998	364180
alappuzha	Alappuzha	9.49	76.3264	240991
alasia	Alasia	6.4749	3.1691	100000
albacete	Albacete	38.9942	-1.8564	173050
albany	Albany	42.6526	-73.7562	101228
alberton	Alberton	-26.2679	28.1223	121536
albuquerque	Albuquerque	35.0845	-106.6511	564559
alcala de henares	Alcalá de Henares	40.4821	-3.36	193751
alcalá de henares	Alcalá de Henares	40.4821	-3.36	193751
alchevsk	Alchevsk	48.4691	38.7974	106062
alcobendas	Alcobendas	40.5475	-3.642	116037
alcorcon	Alcorcón	40.3458	-3.8249	172384
alcorcón	Alcorcón	40.3458	-3.8249	172384
aleppo	Aleppo	36.2012	37.1612	2098210
alexandra	Alexandra	-26.1053	28.0988	179624
alexandria	Alexandria	31.2018	29.9158	5263542
aley	Aley	33.8053	35.6	130000
algeciras	Algeciras	36.1333	-5.4505	121414
algiers	Algiers	36.7323	3.0875	2364230
alhambra	Alhambra	33.4984	-112.1343	127764
aliayabiagba	Aliayabiagba	6.45	3.3333	228000
alicante	Alicante	38.3452	-0.4815	348901
aligarh	Alīgarh	27.8815	78.0746	753207
alimosho	Alimosho	6.6066	3.3024	308290
allentown	Allentown	40.6084	-75.4902	120207
almaty	Almaty	43.2525	76.9115	1977011
almendares	Almendares	23.1101	-82.4232	240000
almere stad	Almere Stad	52.3702	5.2141	176432
almeria	Almería	36.8381	-2.4597	196851
almería	Almería	36.8381	-2.4597	196851
almirante tamandare	Almirante Tamandaré	-25.3247	-49.31	119825
almirante tamandaré	Almirante Tamandaré	-25.3247	-49.31	119825
alor setar	Alor Setar	6.121	100.3601	417800
altamira	Altamira	-3.2033	-52.2064	138749
alto barinas	Alto Barinas	8.5931	-70.2261	284289
alto hospicio	Alto Hospicio	-20.2687	-70.1049	142086
altona	Altona	53.55	9.9333	250192
alvaro obregon	Álvaro Obregón	19.3587	-99.2033	726664
alvorada	Alvorada	-30.0002	-51.0763	187315
alwar	Alwar	27.5625	76.625	322568
alīgarh	Alīgarh	27.8815	78.0746	753207
al’met’yevsk	Al’met’yevsk	54.904	52.3179	140437
amadora	Amadora	38.7538	-9.2308	178858
